UTC Time,Latitude,Longitude,Altitude
2023-09-12T23:21:45.536,50.7527402,6.0723399,0.593
2023-09-12T23:21:46.538,50.7527427,6.0723438,0.449
2023-09-12T23:21:47.539,50.7527379,6.0723473,0.46
2023-09-12T23:21:48.540,50.7527334,6.0723542,0.384
2023-09-12T23:21:49.542,50.7527401,6.0723519,0.401
2023-09-12T23:21:50.543,50.7527475,6.0723409,0.528
2023-09-12T23:21:51.546,50.7527554,6.0723336,0.296
2023-09-12T23:21:52.547,50.7527627,6.0723264,0.282
2023-09-12T23:21:53.549,50.7527669,6.0723224,0.324
2023-09-12T23:21:54.551,50.7527658,6.072325,0.469
2023-09-12T23:21:55.553,50.7527522,6.0723411,0.457
2023-09-12T23:21:56.554,50.7527442,6.0723525,0.344
2023-09-12T23:21:57.556,50.7527408,6.0723546,0.426
2023-09-12T23:21:58.557,50.7527514,6.072345,0.466
2023-09-12T23:21:59.559,50.7527634,6.0723362,0.449
2023-09-12T23:22:00.562,50.752769,6.0723309,0.217
2023-09-12T23:22:01.565,50.7527676,6.0723335,0.508
2023-09-12T23:22:02.567,50.7527837,6.0723226,0.418
2023-09-12T23:22:03.569,50.7527826,6.0723251,0.613
2023-09-12T23:22:04.571,50.7527817,6.0723284,0.358
2023-09-12T23:22:05.573,50.7527855,6.0723278,0.584
2023-09-12T23:22:06.575,50.7527905,6.0723275,0.737
2023-09-12T23:22:07.577,50.7527934,6.072325,0.542
2023-09-12T23:22:08.578,50.7527997,6.0723226,0.378
2023-09-12T23:22:09.581,50.7528083,6.0723204,0.378
2023-09-12T23:22:10.583,50.752816,6.0723206,0.429
2023-09-12T23:22:11.584,50.7528199,6.0723205,0.522
2023-09-12T23:22:12.585,50.7528022,6.0723357,0.525
2023-09-12T23:22:13.587,50.7528004,6.0723386,0.635
2023-09-12T23:22:14.589,50.7528025,6.0723354,0.259
2023-09-12T23:22:15.591,50.7528007,6.0723346,0.44
2023-09-12T23:22:16.591,50.7527961,6.0723366,0.641
2023-09-12T23:22:17.593,50.7527853,6.0723427,0.389
2023-09-12T23:22:18.595,50.7527804,6.072347,0.398
2023-09-12T23:22:19.596,50.7527825,6.072344,0.505
2023-09-12T23:22:20.598,50.7527854,6.0723379,0.437
2023-09-12T23:22:21.599,50.7527893,6.0723335,0.446
2023-09-12T23:22:22.601,50.752782,6.0723395,0.483
2023-09-12T23:22:23.602,50.7527799,6.0723395,0.539
2023-09-12T23:22:24.603,50.7527842,6.0723385,0.525
2023-09-12T23:22:25.605,50.7527804,6.07234,0.313
2023-09-12T23:22:26.606,50.7527737,6.0723422,0.172
2023-09-12T23:22:27.607,50.752772,6.0723426,0.291
2023-09-12T23:22:28.609,50.7527678,6.0723452,0.384
2023-09-12T23:22:29.610,50.7527615,6.0723502,0.421
2023-09-12T23:22:30.612,50.7527568,6.0723534,0.178
2023-09-12T23:22:31.613,50.7527624,6.0723518,0.161
2023-09-12T23:22:32.615,50.7527639,6.0723525,0.104
2023-09-12T23:22:33.616,50.7527633,6.0723554,0.553
2023-09-12T23:22:34.618,50.7527674,6.0723534,0.604
2023-09-12T23:22:35.619,50.7527642,6.0723559,0.469
2023-09-12T23:22:36.621,50.7527649,6.0723575,0.389
2023-09-12T23:22:37.623,50.7527552,6.0723613,0.44
2023-09-12T23:22:38.625,50.7527574,6.0723657,0.46
2023-09-12T23:22:39.627,50.7527624,6.0723704,0.576
2023-09-12T23:22:40.629,50.7527622,6.0723755,0.364
2023-09-12T23:22:41.631,50.7527571,6.0723791,0.587
2023-09-12T23:22:42.632,50.7527616,6.0723791,0.573
